state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,number_customer_service_calls,churn,churn_0_1
DE,142,area_code_408,no,no,0,187.0,133,134.6,74,242.2,127,7.4,5,2,no,0
WY,97,area_code_415,no,yes,24,133.2,135,217.2,58,70.6,79,11.0,3,1,no,0
IA,52,area_code_408,no,no,0,191.9,108,269.8,96,236.8,87,7.8,5,3,no,0
IN,60,area_code_408,no,no,0,220.6,57,211.1,115,249.0,129,6.8,3,1,no,0
VA,10,area_code_408,no,no,0,186.1,112,190.2,66,282.8,57,11.4,6,2,no,0
UT,96,area_code_415,no,no,0,160.2,117,267.5,67,228.5,68,9.3,5,2,no,0
IN,81,area_code_408,no,no,0,175.5,67,249.3,85,270.2,98,10.2,3,1,no,0
CO,141,area_code_415,no,no,0,126.9,98,180.0,62,140.8,128,8.0,2,1,no,0
CO,121,area_code_408,no,yes,30,198.4,129,75.3,77,181.2,77,5.8,3,3,yes,1
OK,125,area_code_408,no,no,0,229.3,103,177.4,126,189.3,95,12.0,8,1,no,0
ID,174,area_code_408,no,no,0,192.1,97,169.9,94,166.6,54,11.4,4,1,no,0
CA,116,area_code_415,no,yes,34,268.6,83,178.2,142,166.3,106,11.6,3,2,no,0
SD,149,area_code_408,no,yes,28,180.7,92,187.8,64,265.5,53,12.6,3,3,no,0
NC,38,area_code_408,no,no,0,131.2,98,162.9,97,159.0,106,8.2,6,2,no,0
WA,40,area_code_415,no,yes,41,148.1,74,169.5,88,214.1,102,6.2,5,2,no,0
WY,43,area_code_415,yes,no,0,251.5,105,212.8,104,157.8,67,9.3,4,0,no,0
MN,113,area_code_408,yes,no,0,125.2,93,206.4,119,129.3,139,8.3,8,0,no,0
UT,126,area_code_408,no,no,0,211.6,70,216.9,80,153.5,60,7.8,1,1,no,0
TX,150,area_code_510,no,no,0,178.9,101,169.1,110,148.6,100,13.8,3,4,yes,1
NJ,138,area_code_408,no,no,0,241.8,93,170.5,83,295.3,104,11.8,7,3,no,0
MN,162,area_code_510,no,yes,46,224.9,97,188.2,84,254.6,61,12.1,2,0,no,0
NM,147,area_code_510,no,no,0,248.6,83,148.9,85,172.5,109,8.0,4,3,no,0
NV,90,area_code_415,no,no,0,203.4,146,226.7,117,152.4,105,7.3,4,1,no,0
HI,85,area_code_415,no,no,0,235.8,109,157.2,94,188.2,99,12.0,3,0,no,0
MN,50,area_code_415,no,no,0,157.1,90,223.3,72,181.4,111,6.1,2,1,no,0
DC,82,area_code_415,no,no,0,300.3,109,181.0,100,270.1,73,11.7,4,0,yes,1
NY,144,area_code_408,no,no,0,61.6,117,77.1,85,173.0,99,8.2,7,4,yes,1
MN,46,area_code_415,no,no,0,214.1,72,164.4,104,177.5,113,8.2,3,2,no,0
MD,70,area_code_408,no,no,0,170.2,98,155.2,102,228.6,76,15.0,2,1,no,0
WV,144,area_code_415,no,no,0,201.1,99,303.5,74,224.0,119,13.2,2,1,no,0
OR,116,area_code_415,yes,no,0,215.4,104,204.8,79,278.5,109,12.6,5,3,no,0
GA,70,area_code_415,no,yes,24,249.5,101,259.7,98,222.7,68,9.8,4,1,no,0
VT,128,area_code_510,no,yes,29,179.3,104,225.9,86,323.0,78,8.6,7,0,no,0
IN,94,area_code_408,no,no,0,157.9,105,155.0,101,189.6,84,8.0,5,4,yes,1
WV,111,area_code_510,no,no,0,214.3,118,208.5,76,182.4,98,12.0,2,1,no,0
KY,74,area_code_415,no,yes,35,154.1,104,123.4,84,202.1,57,10.9,9,2,no,0
NJ,128,area_code_415,no,no,0,237.9,125,247.6,93,208.9,68,13.9,4,1,yes,1
DC,82,area_code_510,no,no,0,143.9,61,194.9,105,109.6,94,11.1,2,1,no,0
LA,155,area_code_415,no,no,0,203.4,100,190.9,104,196.0,119,8.9,4,0,yes,1
AR,80,area_code_415,no,no,0,124.3,100,173.0,107,253.2,62,7.9,9,1,no,0
ME,78,area_code_415,no,no,0,252.9,93,178.4,112,263.9,105,9.5,7,3,no,0
AZ,90,area_code_415,no,no,0,179.1,71,190.6,81,127.7,91,10.6,7,3,no,0
MT,73,area_code_415,no,no,0,160.1,110,213.3,72,174.1,72,13.0,4,0,no,0
AZ,99,area_code_415,no,no,0,198.2,87,207.3,76,190.9,113,8.7,3,4,no,0
MS,120,area_code_408,no,no,0,212.1,131,209.4,104,167.2,96,5.3,5,1,yes,1
ID,77,area_code_415,no,no,0,251.8,72,205.7,126,275.2,109,9.8,7,2,yes,1
IA,98,area_code_510,no,yes,21,161.2,114,252.2,83,160.2,92,4.4,8,4,no,0
MA,108,area_code_415,no,no,0,178.3,137,189.0,76,129.1,102,14.6,5,0,no,0
KY,95,area_code_408,no,no,0,135.0,99,183.6,106,245.3,102,12.5,9,1,no,0
IN,122,area_code_408,no,no,0,170.5,94,173.7,109,248.6,75,11.3,2,1,no,0
AZ,95,area_code_408,no,no,0,238.1,65,187.2,98,190.0,115,11.8,4,4,no,0
MI,36,area_code_510,no,yes,29,281.4,102,202.2,76,187.2,113,9.0,6,2,no,0
NM,93,area_code_510,no,yes,21,117.9,131,164.5,115,217.0,86,9.8,3,1,no,0
UT,157,area_code_408,no,no,0,229.8,90,147.9,121,241.4,108,9.6,7,3,no,0
MI,120,area_code_408,no,no,0,165.0,100,317.2,83,119.2,86,8.3,8,1,no,0
AL,98,area_code_408,no,no,0,161.0,117,190.9,113,227.7,113,12.1,4,4,no,0
DE,125,area_code_408,no,no,0,126.7,108,206.0,90,247.8,114,13.3,7,1,no,0
AZ,63,area_code_415,no,no,0,58.9,125,169.6,59,211.4,88,9.4,3,1,no,0
ME,36,area_code_510,yes,yes,42,196.8,89,254.9,122,138.3,126,20.0,6,0,yes,1
NJ,64,area_code_510,no,no,0,162.6,83,152.3,109,57.5,122,14.2,3,1,no,0
NV,74,area_code_415,no,no,0,282.5,114,219.9,48,170.0,115,9.4,4,1,yes,1
NE,46,area_code_408,no,no,0,210.2,92,227.3,77,200.1,116,13.1,7,1,no,0
TX,41,area_code_408,no,yes,22,213.8,102,141.8,86,142.2,123,7.2,3,0,no,0
MD,121,area_code_510,no,no,0,190.7,103,183.5,117,220.8,103,9.8,4,3,no,0
MS,193,area_code_415,no,no,0,170.9,124,132.3,95,112.9,89,11.6,3,1,no,0
NV,130,area_code_510,no,no,0,154.2,119,110.2,98,227.4,117,9.2,5,2,no,0
AZ,85,area_code_408,no,no,0,201.4,52,229.4,104,252.5,106,12.0,3,1,no,0
MS,162,area_code_415,no,no,0,70.7,108,157.5,87,154.8,82,9.1,3,4,yes,1
MS,61,area_code_510,no,yes,27,187.5,124,146.6,103,225.7,129,6.4,6,4,yes,1
TX,92,area_code_408,no,no,0,91.7,90,193.7,123,175.0,86,9.2,4,2,no,0
NE,90,area_code_415,no,no,0,145.5,92,217.7,114,146.9,123,10.9,2,3,no,0
CA,75,area_code_408,no,no,0,166.3,125,158.2,86,256.7,80,6.1,5,1,no,0
NJ,78,area_code_415,no,no,0,231.0,115,230.4,140,261.4,120,9.5,3,1,no,0
TX,82,area_code_408,no,no,0,200.3,96,201.2,102,206.1,60,7.1,1,4,no,0
AR,163,area_code_408,no,no,0,197.0,109,202.6,128,206.4,80,9.1,10,1,no,0
AL,91,area_code_510,yes,no,0,129.9,112,173.3,83,247.2,130,11.2,3,3,no,0
AK,127,area_code_510,no,yes,36,183.2,117,126.8,76,263.3,71,11.2,8,1,no,0
NV,113,area_code_415,no,yes,23,205.0,101,152.0,60,158.6,59,10.2,5,2,no,0
DE,110,area_code_510,no,no,0,148.5,115,276.4,84,193.6,112,12.4,3,1,no,0
MD,120,area_code_415,no,yes,39,200.3,68,220.4,97,253.8,116,10.5,4,0,no,0
MI,157,area_code_415,no,yes,28,192.6,107,195.5,74,109.7,139,6.8,5,3,no,0
VT,103,area_code_510,no,no,0,246.5,47,195.5,84,200.5,96,11.7,4,1,no,0
VT,117,area_code_408,yes,no,0,167.1,86,177.5,87,249.4,132,14.1,7,2,yes,1
LA,121,area_code_408,no,no,0,181.5,121,218.4,98,161.6,103,8.5,5,1,no,0
RI,145,area_code_408,no,yes,43,257.7,97,162.1,95,286.9,86,11.1,4,2,no,0
IA,113,area_code_408,no,no,0,193.8,99,221.4,125,172.3,67,10.6,6,1,no,0
NE,117,area_code_415,no,no,0,102.8,119,206.7,91,299.0,105,10.1,7,1,no,0
OH,65,area_code_408,no,no,0,187.9,116,157.6,117,227.3,86,7.5,6,1,no,0
RI,56,area_code_415,no,no,0,226.0,112,248.5,118,140.5,142,6.9,11,1,no,0
OK,96,area_code_415,no,no,0,260.4,115,146.0,46,269.5,87,11.5,4,5,no,0
LA,151,area_code_408,no,no,0,178.7,116,292.1,138,265.9,101,9.8,4,0,no,0
OH,83,area_code_415,no,no,0,337.4,120,227.4,116,153.9,114,15.8,7,0,yes,1
VA,139,area_code_510,no,yes,23,157.6,129,247.0,96,259.2,112,13.7,2,0,no,0
MO,6,area_code_510,no,no,0,183.6,117,256.7,72,178.6,79,10.2,2,1,no,0
FL,115,area_code_510,no,yes,24,142.1,124,183.4,129,164.8,114,9.6,4,1,no,0
VA,141,area_code_415,no,no,0,217.1,110,241.5,111,253.5,103,12.0,6,0,no,0
MI,62,area_code_415,no,no,0,98.9,103,135.4,122,236.6,82,12.2,1,1,no,0
GA,185,area_code_510,no,yes,31,189.8,126,163.3,133,264.8,126,7.5,3,1,no,0
DC,148,area_code_415,no,no,0,202.0,102,243.2,128,261.3,90,10.9,3,1,no,0
AZ,94,area_code_408,no,yes,38,170.1,124,193.3,116,105.9,73,12.8,4,1,no,0
AL,32,area_code_510,no,no,0,230.9,87,187.4,90,154.0,53,6.3,2,0,no,0
CO,68,area_code_408,no,no,0,237.1,105,223.5,105,97.4,79,13.2,2,1,no,0
NM,25,area_code_415,no,no,0,119.3,87,211.5,101,268.9,86,10.5,4,3,no,0
OR,65,area_code_415,no,no,0,116.8,87,178.9,93,182.4,150,14.1,2,1,no,0
LA,179,area_code_408,no,no,0,219.2,92,149.4,125,244.7,104,6.1,5,0,no,0
NE,94,area_code_415,no,no,0,252.6,104,169.0,125,170.9,106,11.1,7,2,no,0
MN,62,area_code_415,no,no,0,147.1,91,190.4,107,195.2,115,12.2,3,0,no,0
AR,116,area_code_408,no,no,0,173.5,93,194.1,76,208.0,112,16.2,10,3,no,0
KS,70,area_code_408,no,no,0,232.1,122,292.3,112,201.2,112,0.0,0,3,no,0
WV,94,area_code_510,yes,yes,23,197.1,125,214.5,136,282.2,103,9.5,5,4,no,0
AK,126,area_code_415,no,no,0,58.2,94,138.7,118,136.8,91,11.9,1,5,yes,1
NY,67,area_code_408,no,yes,36,115.6,111,237.7,94,169.9,103,9.9,12,2,no,0
NH,19,area_code_408,no,no,0,186.1,98,254.3,57,214.0,127,14.6,7,2,no,0
VA,170,area_code_510,yes,no,0,259.9,68,245.0,122,134.4,121,8.4,3,3,no,0
NM,73,area_code_415,no,no,0,214.3,145,268.5,135,241.2,92,10.8,13,1,no,0
NY,106,area_code_408,no,no,0,158.7,74,64.3,139,198.5,103,10.2,4,1,no,0
AZ,93,area_code_415,no,no,0,271.6,71,229.4,108,77.3,121,10.9,3,2,no,0
WA,51,area_code_408,no,no,0,232.4,109,187.4,95,231.2,107,9.1,3,1,no,0
TX,130,area_code_415,no,no,0,176.9,109,90.7,104,238.0,69,9.5,2,1,no,0
KY,80,area_code_408,no,no,0,209.9,74,195.1,77,208.2,119,8.8,4,2,no,0
MT,94,area_code_415,no,no,0,137.5,118,203.2,88,150.0,131,13.4,2,0,no,0
OK,118,area_code_408,no,yes,23,289.5,52,166.6,111,119.1,88,9.5,4,1,no,0
MD,117,area_code_415,no,yes,23,198.1,86,177.0,86,180.5,92,6.8,6,1,no,0
TN,78,area_code_415,no,no,0,149.7,119,182.2,115,261.5,126,9.7,8,0,no,0
TX,208,area_code_510,no,no,0,326.5,67,176.3,113,181.7,102,10.7,6,2,yes,1
ME,131,area_code_510,yes,yes,26,292.9,101,199.7,97,255.3,127,13.8,7,4,yes,1
DC,63,area_code_408,no,no,0,83.0,64,177.0,106,245.7,89,13.0,3,0,no,0
MN,53,area_code_415,no,yes,24,145.7,146,220.5,136,249.9,96,13.1,5,3,no,0
DE,62,area_code_408,no,no,0,182.3,101,328.2,93,245.0,131,11.2,1,2,no,0
MD,97,area_code_415,no,no,0,218.0,86,184.0,94,240.5,110,6.4,8,3,no,0
MI,105,area_code_510,no,no,0,140.6,109,178.6,51,217.0,83,6.8,3,2,no,0
WA,157,area_code_415,no,no,0,152.7,105,257.5,80,198.1,93,9.4,4,1,no,0
MO,66,area_code_415,no,yes,36,106.7,76,209.8,77,190.4,117,12.1,2,1,no,0
IN,122,area_code_415,no,no,0,243.8,98,83.9,72,179.8,84,13.7,8,2,no,0
OR,38,area_code_415,no,no,0,194.4,94,186.7,95,223.3,90,10.8,5,3,no,0
MD,106,area_code_510,no,no,0,213.9,95,151.9,70,260.1,124,12.2,5,3,no,0
RI,99,area_code_510,no,no,0,217.2,112,246.7,89,226.1,89,15.8,7,3,no,0
LA,99,area_code_415,no,no,0,241.1,72,155.6,98,188.2,109,11.6,10,1,no,0
AZ,144,area_code_510,yes,no,0,203.5,100,247.6,103,194.3,94,11.9,11,0,no,0
LA,93,area_code_415,no,no,0,179.3,93,178.6,98,225.2,131,11.5,6,3,no,0
FL,120,area_code_415,no,no,0,180.0,80,224.2,82,265.4,91,4.7,7,3,no,0
AL,106,area_code_415,no,no,0,223.0,121,110.1,98,188.7,107,7.1,12,0,no,0
WA,81,area_code_415,no,no,0,183.6,116,152.6,98,212.2,99,12.2,6,3,no,0
TN,127,area_code_408,no,yes,22,166.0,114,174.5,103,244.9,68,10.2,6,1,no,0
MS,65,area_code_415,no,no,0,136.1,112,272.9,96,220.2,104,4.4,2,1,no,0
ME,35,area_code_408,no,no,0,149.3,113,242.2,122,174.3,104,8.9,6,2,no,0
OK,88,area_code_408,no,no,0,65.4,97,168.2,76,236.0,113,13.8,1,2,no,0
IN,65,area_code_415,no,no,0,213.4,111,234.5,94,250.1,123,2.7,4,1,no,0
MO,123,area_code_415,no,no,0,206.9,85,244.7,78,221.5,136,7.7,2,3,no,0
IA,126,area_code_408,no,yes,27,186.2,78,189.6,83,76.5,139,9.6,3,2,no,0
KY,45,area_code_415,no,yes,22,196.6,84,313.2,92,163.3,108,11.9,3,0,no,0
MD,93,area_code_408,yes,no,0,312.0,109,129.4,100,217.6,74,10.5,2,0,yes,1
OH,63,area_code_415,yes,yes,36,199.0,110,291.3,111,197.6,92,11.0,6,1,no,0
OK,100,area_code_415,no,no,0,203.1,96,217.0,126,180.9,122,13.5,2,3,no,0
NV,53,area_code_415,no,no,0,168.8,97,220.3,87,154.3,113,10.9,2,0,no,0
ID,92,area_code_415,yes,no,0,173.1,140,240.3,105,233.2,117,9.0,5,1,no,0
MN,139,area_code_510,no,no,0,134.4,106,211.3,98,193.6,125,10.2,2,5,yes,1
SD,110,area_code_408,no,yes,40,202.6,103,118.8,128,234.9,98,9.0,9,2,no,0
IL,110,area_code_408,no,no,0,74.5,117,200.8,98,192.2,101,9.8,7,3,no,0
WY,215,area_code_510,no,no,0,83.6,148,120.9,91,226.6,110,10.7,9,0,no,0
NJ,138,area_code_510,no,no,0,220.2,89,88.3,125,195.3,79,12.9,5,0,no,0
NV,137,area_code_415,yes,no,0,135.1,95,134.1,102,223.1,81,12.3,2,2,yes,1
WV,85,area_code_408,no,no,0,225.0,81,176.9,63,194.3,110,7.1,2,3,no,0
SC,22,area_code_408,no,no,0,110.3,107,166.5,93,202.3,96,9.5,5,0,no,0
RI,107,area_code_415,no,yes,37,60.0,102,102.2,80,261.8,106,11.1,3,0,no,0
IN,51,area_code_510,no,no,0,214.8,94,149.7,58,283.4,66,10.2,5,0,no,0
AZ,94,area_code_408,no,no,0,181.8,85,202.4,98,245.9,97,9.2,2,4,no,0
OR,33,area_code_415,no,yes,29,157.4,99,117.9,80,279.2,79,13.9,11,4,yes,1
NJ,106,area_code_415,no,no,0,207.9,91,172.0,109,191.8,143,14.4,7,4,no,0
MI,86,area_code_510,no,yes,41,119.0,101,230.0,134,236.9,58,9.5,3,0,no,0
TX,97,area_code_415,yes,no,0,143.7,117,273.0,82,178.3,81,10.9,3,0,no,0
FL,106,area_code_408,no,yes,32,165.9,126,216.5,93,173.1,86,14.1,8,4,no,0
DC,108,area_code_510,no,no,0,138.6,122,172.3,117,231.6,92,9.8,3,1,no,0
TX,114,area_code_415,no,no,0,84.7,118,249.9,86,193.4,95,14.5,8,1,no,0
KS,92,area_code_408,yes,no,0,62.6,111,180.6,126,221.7,80,10.4,2,1,yes,1
UT,59,area_code_510,no,no,0,155.2,79,235.3,123,169.4,80,8.7,4,1,no,0
MN,24,area_code_510,no,yes,25,164.9,110,209.3,105,231.2,55,6.7,9,1,no,0
IL,151,area_code_408,no,no,0,134.5,88,143.1,112,223.9,61,15.4,1,1,no,0
NM,117,area_code_415,no,no,0,143.3,103,211.3,108,185.2,96,11.5,3,1,no,0
SC,78,area_code_510,no,no,0,168.3,110,221.2,73,241.0,136,12.5,1,1,no,0
NC,155,area_code_408,no,no,0,262.4,55,194.6,113,146.5,85,8.3,6,2,no,0
WV,114,area_code_510,no,yes,30,206.2,79,260.0,91,291.6,83,11.4,6,1,no,0
RI,114,area_code_510,no,yes,28,225.8,94,193.0,117,232.4,100,8.4,9,4,no,0
NH,119,area_code_408,no,no,0,138.3,89,170.5,78,263.9,98,13.5,6,3,no,0
MA,118,area_code_408,yes,no,0,160.0,123,175.4,96,184.8,99,9.9,3,2,no,0
PA,101,area_code_415,no,no,0,206.6,105,224.9,117,249.9,100,14.6,3,0,no,0
OK,117,area_code_415,no,no,0,134.7,121,180.0,83,200.9,104,7.7,3,1,no,0
AL,49,area_code_415,no,yes,28,214.4,78,235.2,100,206.2,107,8.0,13,3,no,0
WY,139,area_code_415,no,no,0,192.8,104,234.4,96,203.2,101,13.0,3,3,no,0
PA,92,area_code_408,no,yes,28,151.1,90,194.8,79,239.2,114,10.0,3,1,no,0
HI,148,area_code_510,yes,no,0,218.9,88,208.0,85,203.3,99,11.1,4,0,no,0
SD,144,area_code_408,no,yes,48,189.8,96,123.4,67,214.2,106,6.5,2,2,yes,1
AL,131,area_code_415,no,yes,25,192.7,85,225.9,105,254.2,59,10.9,6,2,no,0
VT,146,area_code_510,yes,no,0,204.4,135,219.1,90,222.7,114,10.5,6,3,no,0
MT,143,area_code_415,no,no,0,172.3,97,174.0,108,188.2,119,13.0,4,2,no,0
MN,81,area_code_415,no,no,0,198.4,93,210.9,108,193.3,71,10.4,6,2,no,0
AK,48,area_code_415,no,yes,37,211.7,115,159.9,84,144.1,80,12.2,1,1,no,0
SD,145,area_code_408,no,yes,24,147.5,90,175.7,108,252.1,102,15.6,3,2,no,0
MI,137,area_code_510,no,no,0,206.4,122,128.0,102,194.5,84,8.8,5,2,no,0
KS,137,area_code_408,no,no,0,205.9,88,209.3,86,289.9,84,14.5,4,2,no,0
AL,167,area_code_510,no,no,0,207.6,88,132.4,63,255.2,98,14.1,5,0,no,0
OK,89,area_code_510,no,no,0,303.9,95,260.9,114,312.1,89,5.3,3,1,yes,1
CT,199,area_code_415,no,yes,34,230.6,121,219.4,99,299.3,94,8.0,2,0,no,0
NE,132,area_code_510,no,no,0,99.5,110,129.1,80,125.1,124,9.7,3,0,no,0
WI,94,area_code_510,no,no,0,177.1,112,194.0,112,146.7,108,5.9,4,1,no,0
WI,96,area_code_510,no,yes,18,172.7,86,133.4,113,259.5,70,9.8,3,1,no,0
IN,166,area_code_510,no,no,0,204.2,115,179.9,152,216.8,109,9.5,5,1,no,0
DC,74,area_code_415,no,no,0,85.7,83,247.7,67,142.4,85,10.1,5,2,no,0
AR,36,area_code_415,no,no,0,157.6,117,184.3,58,240.4,99,11.9,1,0,no,0
ME,113,area_code_415,no,no,0,215.5,129,218.7,117,207.1,91,6.6,9,4,no,0
MD,67,area_code_415,no,no,0,171.7,80,110.4,81,195.4,111,11.9,4,2,no,0
FL,127,area_code_415,no,no,0,266.6,106,264.8,168,207.2,119,5.9,2,1,yes,1
IA,158,area_code_415,no,no,0,158.0,106,292.5,114,241.1,89,9.1,4,1,no,0
AZ,136,area_code_510,no,no,0,92.0,117,253.6,77,214.1,90,10.3,10,1,no,0
MO,196,area_code_415,no,no,0,234.0,109,249.5,114,173.1,70,9.1,5,2,no,0
VT,113,area_code_415,no,no,0,272.1,111,268.5,118,213.8,105,8.5,10,1,yes,1
IN,122,area_code_408,no,no,0,296.4,99,214.8,89,133.9,107,11.4,3,4,yes,1
RI,112,area_code_510,no,no,0,194.4,101,190.3,82,183.4,107,11.4,2,0,no,0
SD,209,area_code_415,no,no,0,227.2,128,258.4,92,183.5,74,8.9,4,3,no,0
MN,62,area_code_415,no,no,0,248.7,109,220.0,118,265.7,78,13.2,2,1,yes,1
TX,110,area_code_415,no,yes,38,236.3,102,195.9,112,183.5,82,9.7,6,1,no,0
VA,16,area_code_510,no,no,0,205.6,69,169.5,93,220.1,64,10.9,3,0,no,0
MA,73,area_code_408,no,no,0,94.1,136,280.3,122,205.0,77,9.8,4,0,no,0
ID,128,area_code_408,no,no,0,125.2,99,205.4,107,254.4,111,18.9,2,0,no,0
MA,39,area_code_408,no,no,0,60.4,158,306.2,120,123.9,46,12.4,3,1,no,0
GA,103,area_code_415,no,yes,28,121.0,105,270.4,100,160.5,76,7.7,4,2,no,0
RI,119,area_code_415,no,yes,29,117.8,66,256.8,114,147.6,76,7.6,3,3,no,0
MA,86,area_code_510,no,no,0,176.3,79,259.2,97,287.4,78,6.2,3,0,no,0
WY,114,area_code_415,no,yes,32,125.2,79,177.8,105,232.4,89,12.9,3,1,no,0
VA,104,area_code_408,no,no,0,138.7,107,256.9,113,234.9,74,10.0,3,0,no,0
OR,148,area_code_415,no,no,0,86.3,134,246.6,92,251.6,91,11.3,4,1,no,0
VA,129,area_code_408,no,no,0,207.0,91,154.9,121,245.1,112,13.4,5,3,no,0
ME,100,area_code_510,no,yes,30,58.8,104,219.5,107,152.3,118,7.1,3,0,no,0
AL,121,area_code_408,no,yes,35,68.7,95,209.2,69,197.4,42,11.4,4,1,no,0
GA,143,area_code_408,no,yes,33,239.2,109,235.5,112,156.3,95,9.5,4,1,no,0
IA,76,area_code_510,no,no,0,198.3,130,217.1,86,188.4,96,12.5,3,0,no,0
AZ,158,area_code_510,no,no,0,205.2,97,240.6,77,79.7,108,14.4,12,0,no,0
FL,116,area_code_510,no,no,0,192.1,98,312.9,135,130.2,94,7.9,2,3,no,0
MT,54,area_code_415,no,no,0,272.6,83,248.7,74,197.4,111,9.5,2,1,yes,1
AL,86,area_code_415,no,no,0,128.3,121,197.1,93,138.4,152,12.2,5,7,yes,1
DE,108,area_code_510,no,no,0,169.6,99,264.1,87,206.3,78,9.3,4,0,no,0
KY,151,area_code_408,no,yes,17,214.7,97,138.5,90,169.1,44,8.6,4,1,no,0
SC,99,area_code_510,no,no,0,169.2,70,271.5,77,170.2,104,10.6,2,0,no,0
WA,55,area_code_415,no,no,0,194.1,121,176.6,110,302.8,136,7.0,7,2,no,0
AK,78,area_code_408,no,no,0,225.1,67,199.2,127,175.5,102,14.6,2,0,no,0
GA,89,area_code_415,no,no,0,213.0,63,176.6,71,262.6,126,9.1,1,1,yes,1
IL,44,area_code_415,no,yes,34,221.8,105,161.7,85,227.7,62,14.0,7,0,no,0
IN,98,area_code_408,no,yes,21,64.6,98,176.1,86,244.8,84,0.0,0,2,no,0
SC,64,area_code_510,no,yes,37,154.6,92,83.4,103,165.9,99,13.3,3,1,no,0
VA,141,area_code_415,no,no,0,260.2,131,179.2,120,135.0,119,7.2,8,3,no,0
WI,81,area_code_415,no,yes,33,161.6,117,123.0,90,261.3,101,12.2,5,1,no,0
